"area_sqft","bedroom","bathroom","type","year_built","heating","cooling","parking","elementrary_rating","middle_school_rating","high_school_rating","annual_tax_amount","zestimate"
2570,2,3,"Single",1983,"ForcedAir","Central","4 spaces",3,4,5,4339,484643
,5,,,2013,,"Central","2 spaces",3,4,5,8775,531078
2286,5,3,"Single",2019,,,,3,4,5,,899148
,3,,"Single",1995,,"Central","2 spaces",5,4,5,5498,410451
2561,4,3,"Single",2019,,,,3,4,5,5417,570027
3683,5,4,"Single",2005,"ForcedAir","Central","3 spaces",4,3,5,8935,699001
,4,,"Single",2005,,"Central","2 spaces",4,4,5,7068,506307
,4,,"Single",2006,,"Central","3 spaces",4,3,5,10624,606379
1960,4,2,"Single",1955,"ForcedAir","Central","3 spaces",3,4,5,6093,494845
3340,4,4,"Single",2008,"ForcedAir","Central","Garage",4,3,5,8112,648000
,4,,"Single",2002,,,"2 spaces",4,4,5,6175,516255
2261,4,3,"Single",2019,,,,4,4,5,,549993
1631,3,3,"Single",2019,,,,4,4,5,,491996
2166,4,3,"Single",2012,"ForcedAir","Central","3 spaces",3,4,5,8992,459956
,3,,"Single",1995,,,"2 spaces",5,4,5,3343,430538
,4,,"Single",2013,,"Central","2 spaces",3,4,5,8272,501781
2108,3,3,"Single",1991,"ForcedAir","Central","3 spaces",5,3,5,4631,537001
2532,4,3,"Single",2006,"ForcedAir","Central","2 spaces",3,4,5,8729,515066
,4,,"Single",1979,"ForcedAir","Central","3 spaces",5,3,5,9631,452951
,4,,"Single",1993,,,"2 spaces",5,4,5,4923,453803
,3,,"Single",1980,,"Central","2 spaces",1,3,5,3908,399606
2570,4,3,"Single",2006,"ForcedAir","Central","2 spaces",3,4,5,9479,520005
3427,5,5,"Single",2013,"ForcedAir","Central","3 spaces",3,4,5,7867,611294
1340,2,1,"Single",1963,"ForcedAir","Wall",,3,4,5,2173,399008
,5,,"Single",2006,,"Central","2 spaces",4,4,5,7518,509805
3615,4,3,"Single",2005,,"Central","3 spaces",4,3,5,10081,612257
1330,3,2,"Single",1988,"ForcedAir","Central","2 spaces",5,4,5,5343,452093
,3,,"Single",1994,,"Central","2 spaces",4,4,5,6140,483332
1419,3,3,"Single",1988,"ForcedAir","Central","2 spaces",5,4,5,5099,406186
1677,4,3,,,,,,4,3,5,,475000
780,2,1,"Mobile",2005,,,"2 spaces",5,3,5,264,120000
,4,,"Single",1993,"ForcedAir","Central","2 spaces",4,3,5,5105,432802
1120,3,2,"Single",1994,"ForcedAir","Central","2 spaces",5,4,5,4210,432250
,4,,"Single",2016,,"Central","2 spaces",3,4,5,11134,442968
,2,1,"Mobile",2019,"ForcedAir","Central",,4,4,5,,90194
1970,3,3,"Single",1994,"ForcedAir","Central","2 spaces",5,3,5,5696,525000
1772,3,3,"Single",2016,"ForcedAir","Central","2 spaces",3,4,5,10486,500004
2004,3,2,"Single",1979,"ForcedAir","Central","2 spaces",4,3,5,3517,1209525
2284,3,3,"Single",2013,"ForcedAir","Central","2 spaces",3,4,5,8125,494004
1970,3,2.5,"Single",1994,,"Central","2 spaces",4,4,5,6106,467069
2198,4,3,"Single",1995,"ForcedAir","Central","2 spaces",3,4,5,6174,589901
,3,,,1990,,,"2 spaces",4,4,5,5418,399492
,4,,"Single",2008,"ForcedAir","Central","2 spaces",7,3,5,10217,538268
,3,,"Single",1992,,,"2 spaces",3,3,5,4068,455152
,2,2,"Mobile",,"ForcedAir","Central","2 spaces",5,3,5,880,155000
1864,3,3,"Single",2019,,,,3,4,5,,810991
2732,5,3,"Single",2019,,,,4,3,5,,629914
2228,4,3,"Single",2019,,,,3,4,5,,595884
,3,,"Multiple",1977,,"Central","3 spaces",3,3,5,18750,691345
1761,4,3,"Single",1988,"ForcedAir","Central","2 spaces",5,4,5,4799,479953
2719,3,3,"Single",2006,"ForcedAir","Central","2 spaces",3,3,5,11116,598854
1238,3,2,"Single",1986,,"Central","2 spaces",3,3,5,5631,427169
1759,3,2,"Single",1990,,"Central","2 spaces",3,3,5,3806,464152
,4,,"Single",1970,,"Central","2 spaces",4,4,5,10034,606944
,6,,"Single",2005,,"Central","2 spaces",3,4,5,10783,516525
3248,4,3,"Single",2016,"ForcedAir","Central","3 spaces",3,4,5,11984,621432
1398,3,3,"Single",1993,,,"1 space",4,3,5,3831,403733
2726,5,3,"Single",2019,,,,3,4,5,,599980
1639,3,2,"Single",1988,,,"2 spaces",5,4,5,5368,405806
1431,4,2,"Single",1983,"ForcedAir","Central","Garage",3,3,5,6008,446707
2732,4,3,"Single",2019,,,,4,3,5,3664,615090
,5,,"Single",2016,,"Central","2 spaces",3,4,5,11074,433523
3382,4,3,"Single",2006,"Gas","Central","3 spaces",3,4,5,14511,599001
2178,4,2,"Single",1999,"ForcedAir","Central","1 space",3,3,5,6575,575003
,5,,"Single",2006,,"Central","2 spaces",3,4,5,7797,512894
2753,4,3,"Single",2019,"ForcedAir","Central","Garage",4,3,5,3664,630002
2960,6,4,"Single",2019,"ForcedAir","Central","Garage",4,3,5,3664,642102
1731,3,3,"Single",1952,"Electric","Wall","2 spaces",3,4,5,2216,449866
1501,3,2,"Condo",1979,"ForcedAir","Central","2 spaces",3,4,5,2780,227576
,4,,"Single",1988,,"Central","2 spaces",5,3,5,7511,769900
,4,,"Single",1994,,,"2 spaces",5,4,5,3648,452164
,4,,"Single",1988,,"Central","2 spaces",5,4,5,5372,407212
2732,4,3,"Single",2019,,,,4,3,5,3664,625000
,3,,"Single",1983,,,"2 spaces",5,4,5,5671,443089
2802,5,5,"Single",2014,"ForcedAir","Central","2 spaces",3,4,5,8472,559000
,3,,,2013,,,"2 spaces",3,4,5,13617,484820
2143,4,3,"Single",2019,,,,3,4,5,,850713
1559,3,2,"Single",1969,"ForcedAir","Central","2 spaces",5,3,5,2747,645536
,3,,"Single",2017,,,"2 spaces",3,4,5,10883,412119
1650,3,3,"Single",1993,"ForcedAir","Central","2 spaces",4,3,5,5863,449501
2960,6,4,"Single",2019,,,,3,3,5,,640363
,3,,"Single",1989,,,"2 spaces",3,4,5,6165,681967
2735,5,4,"Single",2005,,,"2 spaces",3,4,5,10715,522202
2923,4,4,"Single",2014,"ForcedAir","Central","3 spaces",3,4,5,8925,595001
2951,4,3,"Single",2018,"ForcedAir","Central","2 spaces",,,,8395,599000
3297,5,3.5,"Single",2019,,,,4,3,5,,640000
1752,4,2,"Single",1979,"ForcedAir","Central","2 spaces",4,3,5,4273,560004
1763,4,3,"Single",1990,"ForcedAir","Central","4 spaces",4,4,5,5776,440009
4360,5,7,"Single",2019,,,,9,10,9,,2271351
,4,,"Single",1949,"ForcedAir",,,9,10,9,,1350245
4223,5,5,"Single",1992,"ForcedAir","Central",,9,10,9,,2136838
1631,3,2,"Single",1971,,,,9,10,9,,1020494
4147,4,6,"Single",2019,,,,9,10,9,,2238994
,4,,"Single",1966,"ForcedAir","Central",,9,10,9,,1565357
3331,4,5,"Single",2019,,,,9,10,9,,1869384
2357,4,3,"Single",1946,"ForcedAir","Central",,9,10,9,,1887645
4083,4,4,"Single",2008,"ForcedAir",,,9,10,9,,2922344
3331,4,5,"Single",,,,,9,10,9,,1931091
2064,4,3,"Single",1961,"ForcedAir","Central",,9,10,9,,1276747
1564,3,2,"Single",1952,"ForcedAir","Central",,9,10,9,,1184347
3953,4,6,"Single",2019,,,,9,10,9,,2145416
1674,3,3,"Single",1974,"ForcedAir","Central",,9,10,9,,1283396
3401,4,4,"Single",1950,"ForcedAir","Central",,9,10,9,,1956521
3460,4,3,"Single",1959,"ForcedAir","Central",,9,10,9,,1738218
3055,6,5,"Single",1953,"ForcedAir","Central",,9,10,9,,1912985
,5,,"Single",1955,,,,9,10,9,,1402253
,3,,"Single",1952,,,,,,,,1232578
4360,5,7,"Single",,,,,9,10,9,,2474548
1604,4,2,"Single",1950,"ForcedAir",,,9,10,9,,1295381
3272,4,3,"Single",1955,"ForcedAir","Central",,9,10,9,,2259833
9999,3,2,"Single",1950,"ForcedAir","Central",,9,10,9,,1305823
4023,5,4,"Single",1954,"ForcedAir","Central",,9,10,9,,2540082
1782,3,2,"Single",1979,,"Central",,9,10,9,,1065762
2155,4,4,"Single",1941,"ForcedAir","Central",,9,10,9,,1275031
,3,,"Single",1965,,,,9,10,9,,1654744
,3,,"Single",1952,"ForcedAir",,,9,10,9,,933769
5400,5,6,"Single",1989,,"Central",,9,10,9,,3002732
3949,4,6,"Single",2019,,,,9,10,9,,2140169
4098,4,3,"Single",1955,"Wall",,,9,10,9,,2283019
4147,4,4,"Single",2019,"ForcedAir","Central",,9,10,9,,2446540
3222,4,3,"Single",1998,"ForcedAir","Central",,9,10,9,,1850914
3361,4,5,"Single",2019,"ForcedAir","Central",,9,10,9,,1930859
4147,4,6,"Single",,,,,9,10,9,,2446174
3030,5,5,"Single",2007,"ForcedAir","Central",,9,10,9,,1976085
,3,,"Single",1938,"ForcedAir",,,9,10,9,,1539054
5237,5,6,"Single",2019,"ForcedAir","Central",,9,10,9,,3335449
,3,,"Single",1959,,"Central",,9,10,9,,1182401
3878,4,4,"Single",2019,"ForcedAir","Central",,9,10,9,,2179065
,3,,"Single",1952,,,,9,10,9,,1049015
3878,4,6,"Single",,,,,9,10,9,,2320570
2601,4,3,"Single",1986,"ForcedAir","Central",,9,10,9,,1720666
4320,6,4,"Single",1981,"ForcedAir","Central",,9,10,9,,1550002
1220,3,2,"Single",1954,"ForcedAir",,"Garage",7,5,,9375,968996
2010,3,2,"Single",1952,"ForcedAir",,"Garage",7,5,,2346,1288038
,3,,"Single",1964,,,"Garage",7,5,,8953,732050
4646,8,6,"Single",2017,"ForcedAir",,"Garage",7,5,,,1849695
1027,2,2,"Single",1999,"ForcedAir",,"1 space",7,5,,10606,961965
1040,3,1,"Single",1954,"ForcedAir",,"Garage",7,5,,9060,1002836
2100,3,3,"Single",1979,"ForcedAir",,"Garage",7,5,,11562,1270474
,1,,"Single",1952,,,"Garage",7,5,,9255,629960
,3,,"Single",1955,"ForcedAir","Central","Garage",7,5,,9603,1205513
1300,3,2,"Single",1960,"ForcedAir",,"Garage",7,5,,7103,1056705
,2,,"Single",1949,"ForcedAir","Central","Garage",7,5,,9512,1263839
,4,,"Single",1965,,,"Garage",7,5,,9690,898007
857,2,1,"Single",1940,"ForcedAir",,"Garage",7,5,,2761,951882
,3,,"Single",1955,,,"Garage",7,5,,7734,820525
,3,,"Single",1960,,,"Garage",7,5,,9749,720694
2365,4,4,"Single",1989,"ForcedAir",,"Garage",7,5,,8366,1500058
730,2,1,"Single",1956,"ForcedAir",,"Garage",7,5,,1805,939467
,2,,"Single",1949,,,"Garage",7,5,,4610,640868
1230,3,2,"Single",1930,,,"Garage",7,5,,1412,948073
2540,3,3,"Single",1981,,,"Garage",7,5,,5988,1330774
1260,3,2,"Single",1967,"ForcedAir",,"Garage",7,5,,2516,992747
1750,3,3,"Single",1963,,,"2 spaces",7,5,,2067,691754
,4,,"Single",1970,,,"Garage",7,5,,2392,879991
998,2,2,"Condo",1963,"ForcedAir",,,9,9,10,,941228
1103,1,1,"Condo",1981,"ForcedAir","Central",,8,9,9,,999499
5042,5,6,"Single",2004,"ForcedAir","Central",,9,8,10,,9492152
2330,3,4,"Single",1936,"ForcedAir","Central",,9,8,10,,4937616
1672,4,4,"Single",2019,"ForcedAir","Central",,9,8,10,,2915752
1967,4,2,"Single",1955,,,,9,9,10,,3166208
2395,5,4,"Single",1900,"ForcedAir",,,7,8,10,,3799019
2779,4,4,"Single",2015,"ForcedAir","Central",,8,8,10,,3079884
1036,3,2,"Single",1951,"ForcedAir","Central",,5,8,10,,2023894
2532,4,3,"Single",1929,"ForcedAir",,,7,8,10,,4923835
1810,3,3,"Condo",1997,"ForcedAir","Central",,7,8,10,,2327357
2723,5,3,"Single",1950,"ForcedAir",,,8,8,10,,4361093
1907,3,2,"Single",1953,"ForcedAir","Central",,9,9,10,,3794308
,3,,"Single",1945,,,,9,8,10,,2988647
2494,5,3,"Single",1950,"Baseboard",,,8,8,10,,4449356
2610,2,2,"Single",1906,"ForcedAir","Central",,7,8,10,,4679648
1816,3,2,"Single",1953,"ForcedAir","Central",,8,9,9,,2594668
3652,5,4,"Single",1929,"Gas",,,7,8,10,,10909649
1546,2,2,"Condo",1997,"ForcedAir","Central",,7,8,10,,1361960
4002,5,6,"Single",2004,"ForcedAir","Central",,5,8,10,,5424444
1914,4,2,"Single",1963,"ForcedAir",,,9,9,10,,2904385
,2,,"Single",1947,,,,5,8,10,,1691042
2696,4,3,"Single",1952,"ForcedAir","Central",,8,8,10,,5137916
1333,2,2,"Single",1947,"Wall",,,9,8,10,,2421685
1295,2,3,"Townhouse",1983,"ForcedAir",,,9,8,10,,1668579
3321,4,4,"Single",1936,"ForcedAir",,,9,8,10,,10278086
1672,4,4,"Single",2019,"ForcedAir","Central",,9,8,10,,2927166
1844,3,3,"Single",1936,"ForcedAir","Central",,9,8,10,,3938941
2815,5,3,"Single",1920,"ForcedAir","Central",,9,9,10,,3211456
,3,,"Single",2018,,,,5,8,10,,2765816
810,2,1,"Single",1949,,,,9,9,10,,2140733
1140,2,1,"Single",1941,"ForcedAir",,,5,8,10,,3058234
886,2,2,"Single",1934,,,,9,8,10,,2002220
1846,4,2,"Single",1950,"Wall",,,9,8,10,,2531692
2494,4,3,"Single",1947,"Wall",,,9,9,10,,2948222
1454,2,2,"Condo",1997,"ForcedAir","Central",,7,8,10,,1354031
1123,2,2,"Condo",1963,,,,9,9,10,,1232876
2260,3,3,"Single",1957,"ForcedAir","Wall",,9,8,10,,3233206
4358,6,4,"Single",2004,"ForcedAir","Central",,9,8,10,,4350174
,,,"Multiple",1963,"ForcedAir",,,7,8,10,,3640839
2067,2,3,"Condo",1997,"ForcedAir","Central",,7,8,10,,2076704
1733,4,2,"Single",1959,"Wall",,,9,9,10,,3005000
,4,,"Single",1995,,,,9,8,10,,3163717
1845,3,3,"Condo",1960,"ForcedAir","Central",,7,8,10,,1938750
1274,3,2,"Single",1912,"ForcedAir","Central",,5,8,10,,3606912
4000,3,3,"Single",2002,"Wall",,,7,8,10,,8747727
1380,2,1,"Single",1949,"Wall","Wall",,5,8,10,,3294843
3131,4,4,"Single",1931,"ForcedAir","Central",,8,8,10,,5733178
1097,3,1,"Single",1951,,,,9,9,10,,2027723
,5,,"Single",1953,,,,9,9,10,,2321153
756,1,1,"Condo",1962,"ForcedAir",,,8,9,9,,702644
2808,4,3,"Single",1940,"ForcedAir","Central",,9,8,10,,5902928
3204,5,3,"Single",1953,"ForcedAir",,,9,8,10,,4055705
2163,4,3,"Single",1895,"ForcedAir","Central",,7,8,10,,3602238
1821,4,3,"Single",1946,"ForcedAir","Central",,5,8,10,,3151613
3750,5,6,"Single",2019,"ForcedAir","Central",,7,8,10,,6229926
4002,6,6,"Single",1916,"ForcedAir","Central",,7,8,10,,7167527
1990,4,4,"Single",2006,"ForcedAir","Central",,9,9,10,,3790586
2820,4,4,"Single",1952,"ForcedAir","Central",,9,9,10,,4398039
,2,,"Single",1924,,,,7,8,10,,2062920
3250,6,5,"Single",2019,"ForcedAir","Central",,9,8,10,,4898299
4516,4,4,"Single",1900,"ForcedAir","Central",,7,8,10,,5409827
2860,3,3,"Single",2000,"Wall",,"5+ spaces",9,6,8,11409,1270802
1947,3,2,"Single",1960,,,"Garage",9,6,8,1867,1128929
1471,2,3,"Condo",2009,"ForcedAir","Central","1 space",6,6,8,5129,654505
,4,,"Single",1969,,,,5,6,8,7599,508271
3300,4,5,"Single",1986,"ForcedAir","Central","5+ spaces",7,6,8,18025,1091504
2750,5,3,"Single",1993,,,"2 spaces",8,6,8,5427,1107586
,3,,"Single",1986,,,,8,6,8,9434,803837
1064,2,2,"Condo",1983,"Wall",,"2 spaces",4,8,,2750,399903
1504,3,1,"Single",1950,"ForcedAir",,"4 spaces",7,6,8,9261,848272
3222,5,3,"Single",2003,"ForcedAir","Central","2 spaces",4,6,8,9692,1295009
2407,3,3,"Single",2000,,,,5,6,8,7721,950007
1818,4,3,"Single",,"ForcedAir","Central",,8,6,8,2157,767902
,3,,"Mobile",1996,,,,8,6,8,2933,422725
,2,,"Single",1947,,,,6,6,8,2928,402824
1102,3,2,"Townhouse",2019,"Wall","Wall",,8,6,8,,474128
1400,2,3,"Single",2018,"Wall",,,6,6,8,11207,1106426
1248,2,2,"Mobile",2019,,,,5,6,8,,177388
1338,3,2,"Single",1956,"ForcedAir",,"4 spaces",8,6,8,6466,775004
3342,4,4,"Single",2019,,,,6,6,8,1667,1605289
1259,2,2,"Single",1915,,,"5+ spaces",6,6,8,11122,1748906
2981,4,4,"Single",2019,,,,6,6,8,1508,1558965
1652,4,2,"Single",1968,,,,3,6,8,,655003
1640,3,2,"Townhouse",1992,"ForcedAir","Central","Garage",8,6,8,7169,508960
,4,,"Single",1969,,,,4,6,8,976,433688
948,2,1,"Single",1926,"Gas",,,6,6,8,2728,795001
3687,3,3,"Single",1990,"ForcedAir",,"4 spaces",,6,8,8279,1481828
1200,3,2,"Mobile",2019,"ForcedAir","Central","Garage",6,6,8,,279995
3168,3,2.5,"Single",1921,,,,,6,8,,4081166
,4,,"Single",1979,,,,,,,8944,1173484
1367,3,2,"Condo",1987,,,,5,6,8,3568,512571
1620,2,3,"Condo",1984,,,,6,6,8,4466,511004
1327,2,1,"Single",1920,,,,6,6,8,1930,767799
,3,,"Single",1980,,,,7,6,8,6737,446360
3266,3,3,"Single",2006,,,"3 spaces",7,6,8,10394,1490003
,2,,"Multiple",1949,,,"2 spaces",4,6,8,1186,532199
,3,,"Condo",1981,,,,4,6,8,6017,390791
3510,4,4,"Single",2019,,,,6,6,8,2072,1801903
,3,,"Single",1923,,,,6,6,8,4396,520276
3510,4,3.5,"Single",2018,,,"2 spaces",6,6,8,,1745321
1412,3,3,"Condo",1983,,,"2 spaces",4,6,8,2267,509003
1114,2,2,"Townhouse",2019,"Wall","Wall",,8,6,8,,470587
927,2,2,"Townhouse",2019,"Wall","Wall",,8,6,8,,448145
850,2,2,"Mobile",2010,,,,4,6,8,,179500
,,,"Condo",1983,,,,6,6,8,2777,263662
608,1,1,"Townhouse",2019,"Wall","Wall",,8,6,8,,341230
1200,3,2,"Mobile",2016,,,,6,6,8,,197590
3556,4,5,"Single",2019,,,,6,6,8,1669,1705579
,4,,"Single",1994,,,"2 spaces",8,6,8,10696,957536
1924,4,3,"Single",1968,,,,4,6,8,906,649961
880,2,2,"Townhouse",2019,"Wall","Wall",,8,6,8,,440321
3056,4,3,"Single",1990,,,,8,6,8,16085,1592805
1650,3,2,"Single",1959,,,,4,8,,973,1600016
1248,2,2,"Multiple",1926,,,,7,6,8,,793188
1875,3,4,"Single",2000,,,"2 spaces",5,6,8,3972,889001
,3,,"Single",1955,,,,6,6,8,737,376621
1440,3,2,"Single",1978,,,,9,5,6,959,529862
4050,3,5,"Single",2009,,,"5+ spaces",4,8,,14872,2595972
,4,,"Single",2006,,,"3 spaces",7,6,8,14604,1123174
1200,2,2,"Mobile",1967,,,,5,6,8,,57645
2266,3,3,"Single",1992,,,,8,6,8,6325,659866
1655,3,2,"Single",1956,,,"2 spaces",7,6,8,1343,919009
3449,6,4,"Single",2019,,,,6,6,8,1671,1799295
4000,4,4,"Single",1984,,,,7,6,8,10187,3073368
1771,3,2,"Single",1999,,,,4,6,8,7929,865004
2402,4,3,"Single",2019,"ForcedAir","Central",,8,6,8,2384,842361
1591,3,2,"Single",1955,,"Central","Garage",6,6,8,6381,787685
2186,3,3,"Condo",2011,,,"2 spaces",8,6,8,8969,730967
,3,,"Single",1952,,,,6,6,8,2291,374548
,4,,"Single",1968,,,,4,6,8,5846,454448
1012,2,2,"Townhouse",2019,"Wall","Wall",,8,6,8,,460642
1818,3,3,"Single",,"ForcedAir","Central",,8,6,8,2157,769502
2402,4,3,"Single",2019,"ForcedAir","Central",,7,6,8,1723,952624
,4,,"Single",2000,,,"2 spaces",,,,8130,617828
2981,4,3.5,"Single",2018,,,"2 spaces",6,6,8,,1538526
1524,2,3,"Single",2018,"Wall",,,6,6,8,12085,1252700
4856,5,6,"Single",1920,"ForcedAir","Central","Garage",,10,10,36779,3471420
,2,,"Single",1927,,,"Garage",9,10,10,4135,1120129
2500,4,4,"Single",1927,,,"Garage",9,10,10,7616,1857904
,,,"Multiple",1924,"ForcedAir",,"Garage",1,6,8,12680,1330737
1326,3,1,"Single",1926,,,"Garage",9,9,3,6238,1111224
3467,5,4,"Single",2005,"ForcedAir",,"Garage",9,8,,25163,2602808
,,,"Multiple",2006,"ForcedAir","Central","2 spaces",6,2,4,6720,708327
1504,4,2,"Single",1971,,,"2 spaces",4,2,4,9142,590327
,4,,"Single",1965,,,"2 spaces",4,2,4,6891,724836
1492,3,2,"Single",1958,"ForcedAir",,"2 spaces",4,2,4,5295,629307
2240,5,3,"Single",1972,"ForcedAir",,"2 spaces",4,2,4,6477,729000
892,3,1,"Single",1954,,,"1 space",6,2,4,2883,430389
1410,4,2,"Single",1965,,,"2 spaces",3,2,4,8036,598693
1404,3,2,"Single",1972,"ForcedAir",,"2 spaces",4,2,4,4679,575537
,4,,"Single",1989,,,"3 spaces",3,2,4,10466,864064
,,,"Multiple",1939,,,"4 spaces",,,,7287,801665
1216,3,2,"Single",1959,"ForcedAir","Central","2 spaces",4,2,4,4175,612204
1790,4,3,"Single",1991,"ForcedAir","Central","2 spaces",6,2,4,7048,701752
,5,,"Single",1939,,,"1 space",4,2,4,5850,709633
2208,5,3,"Single",1966,"ForcedAir",,"2 spaces",4,2,4,4816,757495
1018,2,2,"Townhouse",1972,"ForcedAir",,"1 space",4,2,4,5751,356162
1396,3,2,"Single",1956,"Wall",,"2 spaces",4,2,4,2171,570755
1998,4,2,"Single",1966,"ForcedAir",,"2 spaces",4,2,4,2253,641742
,3,,"Single",1968,,,"2 spaces",4,2,4,5010,616457
,4,,"Single",1999,,,"3 spaces",5,2,3,7875,715836
985,2,2,"Condo",1963,"ForcedAir","Central","1 space",3,2,4,3928,270004
1225,3,2,"Single",1965,,,"2 spaces",4,2,4,7539,514972
1158,3,2,"Single",1959,"ForcedAir","Central","2 spaces",3,2,4,5997,605667
1103,4,2,"Single",1959,"ForcedAir","Central","1 space",3,2,4,6243,528139
1928,4,3,"Single",1979,,"Central","2 spaces",3,2,4,7100,653424
1244,3,2,"Single",1968,"ForcedAir","Central","2 spaces",4,2,4,6850,609713
,4,,"Single",1963,,,"2 spaces",4,2,4,8608,639623
2232,5,3,"Single",2006,"ForcedAir","Central",,3,3,4,,495910
2286,4,2,"Single",1978,"ForcedAir","Central",,3,3,4,,520951
3103,7,4,"Single",2006,"ForcedAir","Central",,6,3,4,,599114
1344,2,2,"Mobile",,"ForcedAir","Central",,2,3,4,,125762
,3,,"Single",2006,"ForcedAir","Central",,3,3,4,,510982
1883,5,3,"Single",2004,,"Central",,4,,4,,442193
1762,2,2,"Mobile",,,,,3,3,4,,139034
,4,,"Single",2004,,"Central",,4,3,4,,432718
1084,2,1,"Single",1924,,,,4,3,4,,305777
,3,,"Single",1950,,,,4,3,4,,257751
1591,3,3,"Single",1995,"ForcedAir","Central",,1,1,4,,490514
,4,,"Single",1981,,"Central",,3,3,4,,434377
1622,4,2.5,"Single",1987,,"Central",,3,3,4,,439031
840,2,1,"Single",1939,,,,1,1,4,,352536
,3,,"Single",1992,"ForcedAir","Central",,3,3,4,,386363
,4,,"Single",1994,,,,2,3,4,,491767
,3,,"Single",1983,"ForcedAir","Central",,6,3,4,,421166
,4,,"Single",1990,,,,5,1,4,,441062
1497,4,2,"Single",1977,,,,1,1,4,,418161
2390,4,3,"Single",2015,"ForcedAir","Central",,3,3,4,,590003
1350,4,1,"Single",1952,"ForcedAir","Central",,3,3,4,,395149
,4,,"Single",1986,,,,3,1,4,,456331
1456,3,2,"Single",1959,"ForcedAir","Central",,6,3,4,,329662
1985,4,3,"Single",2003,,"Central",,4,3,4,,451864
1626,3,3,"Single",1975,"ForcedAir","Central",,3,3,4,,447671
1700,5,3,"Single",1978,,"Central",,1,1,4,,444590
,3,,"Single",1986,,"Central",,3,3,4,,426762
1844,4,2,"Single",1976,,"Central",,3,3,4,,505199
2410,4,3,"Single",2019,"ForcedAir","Central",,5,1,4,,654010
2384,4,3,"Single",2017,"ForcedAir","Central",,5,1,4,,649003
1201,2,1,"Single",1941,"Wall",,,4,3,4,,375160
,3,,"Single",1973,"ForcedAir",,,3,3,4,,422234
,4,,"Single",1967,,,,3,3,4,,476023
1472,3,2,"Single",1991,"ForcedAir","Central",,4,,4,,466010
,2,,"Single",1947,"Wall","Wall",,3,3,4,,362170
,4,,"Single",1978,"ForcedAir",,,3,3,4,,395066
,2,,"Single",1986,,,,1,1,4,,224293
1062,3,2,"Mobile",,,,,3,1,4,,149149
2806,5,3,"Single",2019,"ForcedAir","Central",,5,1,4,,694154
1040,3,2,"Mobile",,"Gas","Central",,3,1,4,,139901
912,3,1,"Single",1970,"ForcedAir","Central",,4,,4,,359952
3723,5,5,"Single",2005,"ForcedAir","Central",,5,1,4,,768260
,3,,"Single",1990,,,,5,1,4,,455483
2049,4,3,"Single",2007,"ForcedAir","Central",,1,1,4,,588333
1399,3,2,"Single",1962,,"Central",,3,3,4,,361090
,3,,"Single",1977,"ForcedAir",,,3,3,4,,442673
1536,3,2,"Mobile",,"ForcedAir","Central",,3,3,4,,130000
,3,,"Single",1980,,"Central",,3,3,4,,395516
1856,4,2,"Single",2010,"ForcedAir","Central",,5,1,4,,579004
1873,4,3,"Townhouse",1990,"ForcedAir","Central",,4,,4,,468412
,3,,"Single",1993,,,,2,3,4,,411118
1006,3,1.5,"Single",1930,"Gas","Wall",,1,1,4,,202260
1583,3,2.5,"Townhouse",1991,,,,4,3,4,,371828
,3,,"Single",1996,,,,3,3,4,,405295
,3,,"Single",1993,"ForcedAir","Central",,2,3,4,,443298
1608,4,2,"Mobile",,"ForcedAir","Central",,2,3,4,,226504
,3,,"Single",1976,"ForcedAir",,,3,3,4,,448106
1031,3,2,"Single",1956,"ForcedAir","Central",,6,3,4,,399102
1805,4,3,"Single",2005,"ForcedAir","Central",,3,3,4,,449903
1768,4,2,"Mobile",,"Gas",,,3,3,4,,224902
621,1,1,"Condo",1989,"Baseboard","Wall",,1,1,4,,209950
,4,,"Single",2006,,"Central",,3,3,4,,448799
1820,3,2,"Mobile",,,,,3,3,4,,215187
1480,4,2,"Single",1996,"ForcedAir","Central",,5,1,4,,519850
1209,3,1,"Single",1955,"ForcedAir","Central",,3,2,4,,348003
,4,,"Townhouse",1982,"ForcedAir","Central",,4,,4,,445142
1248,2,2,"Mobile",,,"Central",,3,3,4,,133500
,3,,"Single",1979,,,,3,1,4,,346880
,3,,"Single",1977,,,,3,3,4,,430063
1335,3,2,"Single",1973,"ForcedAir","Central",,2,3,4,,419944
3241,5,3,"Single",1999,"ForcedAir","Central",,5,1,4,,689003
3207,5,4,"Single",2009,"ForcedAir","Central",,5,1,4,,716534
3416,5,4,"Single",2019,,,,5,1,4,,744455
3442,5,3,"Single",2001,"ForcedAir","Central",,5,1,4,,715002
720,2,1,"Mobile",,,,,6,3,4,,167046
1550,3,2,"Single",1976,"ForcedAir","Central",,3,3,4,,409365
1500,4,2,"Mobile",1972,"ForcedAir","Central",,3,1,4,,219934
,3,,"Single",1983,"ForcedAir","Central",,6,3,4,,429094
,4,,"Single",1969,"ForcedAir","Wall",,4,3,4,,429577
,2,,"Single",1927,,,,4,,4,,246812
1440,3,2,"Mobile",,"ForcedAir","Central",,3,3,4,,101073
1639,3,2,"Single",1968,,,,3,3,4,,423367
,4,,"Single",2006,,"Central",,3,3,4,,459450
,5,,"Single",1942,,,,3,1,4,,414136
,4,,"Single",2016,,,,3,3,4,,464583
1122,2,2,"Townhouse",1972,"ForcedAir","Central",,3,3,4,,350002
